rank,trial_number,candidate,objective,physics_level,physics_admissible,R2_min,R2_median,R2_mean,R2_std,RMSE_mean,MAE_mean,bias_abs_mean,active_cdp_pcd_min,active_cdp_pcd_mean,parameter_count,training_time_s,config_hash
34,77,TRIAL_0077_CDP_NEG,0.7326695831688207,C,False,0.7219722528102047,0.7558130919390272,0.7728073641895069,0.04538432517961,0.8581651653656671,0.4465538829403034,0.035016471361494966,82.080078125,87.05078125,76033,2367.648452300011,69e2c2af286c70fd392081df9f1d9a0ebe109054f27fcd48cade10f3252f4f5d
35,85,TRIAL_0085_CDP_NEG,0.7322633927574984,C,False,0.7231889138478784,0.7528394570297054,0.7718999061488655,0.04691783275026718,0.8603235643313868,0.4481977238976242,0.03621066464854306,92.236328125,95.234375,58497,3198.071141499997,11c7747d3f572c3da3a481f46b2d9e6fd6289ee2f0d0f51876650bee512f1326
36,112,TRIAL_0112_CDP_NEG,0.7320561619030793,C,False,0.7209910782019855,0.7560630213664642,0.7699083205143119,0.043482234794824264,0.8635140727175028,0.45751405080665847,0.03901912791813767,88.720703125,91.015625,62785,2584.7124777999998,65559447a36a19b2aecd8876079268434ed311ee2b065008af6ea807615a6716
37,36,TRIAL_0036_CDP_NEG,0.7317116006369848,C,False,0.7253103900556563,0.747107880039865,0.7682285423557141,0.044298516439399464,0.8670721355749261,0.4450656523896339,0.030444526629400025,34.619140625,53.076171875,30081,2155.015643100007,635dfc5cbcd257d17a25250254c82e6d88607ad48dfe579737d23682e20990c7
38,55,TRIAL_0055_CDP_NEG,0.7313156530388888,C,False,0.7229877148367434,0.7503108509105304,0.7692342333429265,0.04493654470609003,0.8649840975697074,0.45008945901513825,0.03460545432960785,68.1640625,76.07421875,58945,1283.6919814999856,589cc879410de1bcc04eeb5ecd67ddd4c0feee290f7718eaee054db152d9dfb3
39,26,TRIAL_0026_CDP_NEG,0.7312592741018042,C,False,0.7235086379892904,0.7490553876071806,0.7680329828853114,0.043658232624552935,0.8673714534065299,0.4458042267916461,0.04934334163946595,48.046875,56.904296875,32929,3739.732113799997,cd936a0c7a05435128c2790d809c4c7c0cca0f97fb5be3f5186d699295646d32
40,45,TRIAL_0045_CDP_NEG,0.731068023233865,C,False,0.7197199169709294,0.7556450572785566,0.7681395051210751,0.04271394644367082,0.8676774402523033,0.4574258174266542,0.03507831543152225,43.212890625,65.166015625,36193,419.6480608999991,01e1416c95585407d07a0912c0fcc669e5a37668a4bab625ab83edb67b7bbc49
41,56,TRIAL_0056_CDP_NEG,0.7300570095191535,C,False,0.7237884286468483,0.7450727731282492,0.7667967843569512,0.04417558043125245,0.8698262005505446,0.44503201912945833,0.035345234330964925,69.189453125,76.81640625,71169,1468.6730977000116,4a76d7b67270f961f81a3ca2d46e0dbd59161c24bea3bda77e1f37e8bdb9b228
42,91,TRIAL_0091_CDP_NEG,0.7298251648279033,C,False,0.727801433327544,0.7381394578560756,0.7609602477444193,0.043935572998877064,0.8812064941947966,0.4566272401854229,0.0460919918417571,88.76953125,92.763671875,46113,642.9614203000383,3f8c14200e4f618a957220a79740e34bb771df8424e8ed764078e00ebada6f72
43,71,TRIAL_0071_CDP_NEG,0.7291611081273687,C,False,0.715904738907592,0.757718338673444,0.7683194506352274,0.045291818827424155,0.8661213335102312,0.4574956363206515,0.04474803431832389,75.78125,79.00390625,105025,1968.0230605000106,fccd1e4392c45ac23d9bfdc224685777c2444e82216028355dca0b665057ec49
