trial,step,folds_completed,screening_score,screening_pcd_min,decision,reason,fold_trainings_avoided
96,2,2,0.6277059327114475,59.375,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
97,2,2,0.7406866338697083,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
97,5,5,0.7406866338697083,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
98,2,2,0.7219091064007166,84.47265625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
98,5,5,0.7219091064007166,84.47265625,COMPLETE_FIVE_FOLDS,promotion_completed,0
99,2,2,0.6908080157660226,86.572265625,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
100,2,2,0.7366727311119947,90.625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
100,5,5,0.7366727311119947,90.625,COMPLETE_FIVE_FOLDS,promotion_completed,0
101,2,2,0.7269377681267563,94.7265625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
101,5,5,0.7269377681267563,94.7265625,COMPLETE_FIVE_FOLDS,promotion_completed,0
102,2,2,0.7303537442739735,80.029296875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
102,5,5,0.7303537442739735,80.029296875,COMPLETE_FIVE_FOLDS,promotion_completed,0
103,2,2,0.4409269190802669,97.0703125,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
104,2,2,0.716361562829301,86.865234375,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
105,2,2,0.7300264042785589,65.72265625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
105,5,5,0.7300264042785589,65.72265625,COMPLETE_FIVE_FOLDS,promotion_completed,0
106,2,2,-0.0063467863919565,50.634765625,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
107,2,2,0.7445551798137203,98.828125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
107,5,5,0.7445551798137203,98.828125,COMPLETE_FIVE_FOLDS,promotion_completed,0
108,2,2,0.6604213994453098,26.708984375,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
109,2,2,0.7224529414077051,72.998046875,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
110,2,2,0.6361897560222527,8.935546875,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
111,2,2,0.7109474068867437,88.330078125,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
112,2,2,0.737284601881514,88.720703125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
112,5,5,0.737284601881514,88.720703125,COMPLETE_FIVE_FOLDS,promotion_completed,0
113,2,2,0.7406078974473362,92.822265625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
113,5,5,0.7406078974473362,92.822265625,COMPLETE_FIVE_FOLDS,promotion_completed,0
114,2,2,0.724628303515687,83.740234375,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
115,2,2,0.4516603422356554,99.51171875,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
116,2,2,0.7393071965730781,97.8515625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
116,5,5,0.7393071965730781,97.8515625,COMPLETE_FIVE_FOLDS,promotion_completed,0
117,2,2,0.7159912926947485,86.279296875,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
118,2,2,0.7198807962798727,65.8203125,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
119,2,2,0.7316366797374567,97.607421875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
119,5,5,0.7316366797374567,97.607421875,COMPLETE_FIVE_FOLDS,promotion_completed,0
