rank,trial_number,candidate,objective,physics_level,physics_admissible,R2_min,R2_median,R2_mean,R2_std,RMSE_mean,MAE_mean,bias_abs_mean,active_tit_pcd_min,active_tit_pcd_mean,parameter_count,training_time_s,config_hash
65,75,TRIAL_0075_TIT_INC,0.7291616733030256,C,False,0.6791872033260538,0.8252142846004901,0.8061538838105168,0.06530322453805291,4.628999089941211,3.0554922092280696,0.600386020489562,72.265625,82.6171875,35409,2457.6478783000002,33b04e1897baf62132fec7cb48c5ff3fb4cafe1e48cc67e50d317ade19e2f674
66,65,TRIAL_0065_TIT_INC,0.7285128617664545,C,False,0.6768900416018204,0.828019373568815,0.8069961878448936,0.06726594049771746,4.612532450079196,3.0597909374828967,0.4615635905028682,71.533203125,76.23046875,104129,317.23114520000127,f91de963e57e8bff757dbe40054fe86a0efe90bb3449b31a7d01fd524a08ad01
67,32,TRIAL_0032_TIT_INC,0.7279060925763919,C,False,0.6835534288604288,0.8133168695069475,0.7991371729457002,0.06134742886519633,4.7199191016828275,3.001919076688332,0.5500352855184054,61.376953125,71.40625,90657,550.5277566000004,70b2ab0a6466b86ff445067bbadf1b481c2b5faac6dc0c716e97c661871b3a44
68,91,TRIAL_0091_TIT_INC,0.7250438718864268,C,False,0.6767078066172458,0.8182246471812261,0.7985854026860377,0.06306746506892369,4.726180146709677,3.0713165303922727,0.4704204592844549,85.15625,89.384765625,79633,121.97150150000198,5e46d12b03b4597d6384be7752cd286960e32917f8cdf2af616b676c1c703572
69,119,TRIAL_0119_TIT_INC,0.7230616817588292,C,False,0.6747753827740608,0.8158466533544722,0.7982920031274504,0.06386744224693766,4.728584238952951,3.117554154734443,0.441346437449363,75.927734375,81.376953125,41505,350.24439619999976,0567cbc8c2315d351943e1044acc19ee9c136520d13bf561d1d28ffd98bd11ec
70,74,TRIAL_0074_TIT_INC,0.722152607620568,C,False,0.6754411955053803,0.8118479876760104,0.79787744454049,0.06454250439512259,4.7315651299840225,3.1848801455339193,0.5418288689219025,54.931640625,65.087890625,153633,520.182596900002,4a3b47c19b7242968fa8bef1dbaab5a79e2e96905189c16458f4ba6b1a76fa34
71,36,TRIAL_0036_TIT_INC,0.7220044833920342,C,False,0.6672066219996926,0.8287716186491225,0.8019784642802368,0.07148821830541892,4.671903386911043,3.048327769736694,0.5631517358003155,82.861328125,88.994140625,63825,644.8584902000148,969b9c822e11e8f8fdb06832d1d8ba02b93aa52ad1cc15bc8e5544f96f3e60c3
72,52,TRIAL_0052_TIT_INC,0.7217836196762444,C,False,0.6735721956412516,0.8150012775286535,0.7942007796067145,0.06280158927774109,4.779202909466217,3.196786798040471,0.572232457392981,56.005859375,63.837890625,169281,4024.7558802999997,09b823d0a30b5a4dec9eee6eb1c0a22623234bf9a57bfc37ce8f089bc21c612e
73,76,TRIAL_0076_TIT_INC,0.7187029305298248,C,False,0.6724296479802181,0.8079515595143462,0.7938246138582971,0.06522787498439597,4.779457374483176,3.181836553419205,0.5625441785365874,83.88671875,89.453125,96769,378.4491512000004,4494273b0d0d8ad039a49a6cf473bd6c79499d14de8ddd10e3a8856f23f56a2a
74,33,TRIAL_0033_TIT_INC,0.7125589681601877,C,False,0.6579221422533083,0.8184788843373662,0.7920969153576723,0.06947674028774307,4.794657016391832,3.155291012957824,0.5937031691139982,73.095703125,76.62109375,29569,1885.83931760001,28c5ead5fa6615d65adc190f4bb4719cc9e8b21d80ed917593b0384937d931b8
