rank,trial_number,candidate,physics_level,R2_min,R2_median,R2_mean,NRMSE_mean,RMSE_mean,MAE_mean,R2_std,bias_abs_mean,active_cdp_violation_max,active_cdp_pcd_min,parameter_count,training_time_s,config_hash
26,19,TRIAL_0019_CDP_NEG,B,0.5469654056404077,0.6959118020806896,0.6525222900166376,0.5861816262768031,1.3447936765040691,0.747062000508361,0.07503263240433951,0.3936468746121908,4.052734375,95.947265625,9025,75.13962959998753,76516e6ad3c2479bc0cd8931a9df1472d8730ad36962ac2b96cf92b551eb996d
27,7,TRIAL_0007_CDP_NEG,B,0.546303078077546,0.6521191598622342,0.638477357672684,0.5984100586370252,1.3691530340091271,0.7347559720816097,0.07035516231549896,0.3761523898223455,1.171875,98.828125,22465,61.71004790003644,c62af9e012df44b9dc367e89dbc0a49255b1ed43067b0984126fd9e313e0a3d8
28,42,TRIAL_0042_CDP_NEG,B,0.5289924738312559,0.6598347914983616,0.6317703119082012,0.6037281953720731,1.3829748321029278,0.7918216183973378,0.07512874494451098,0.4397834524252271,2.34375,97.65625,20609,172.09361049998552,6dcafd01100fb8f3278025581a4ea4b9f65f35ef617743456e691c09adf6c135
29,10,TRIAL_0010_CDP_NEG,B,0.526210791830712,0.6328514434917996,0.6217291950627603,0.6120760146074179,1.4000828337479032,0.7920908236826413,0.07386966159313064,0.412088408518629,1.26953125,98.73046875,44129,214.79901810002048,adcec0c05a4f731da0d12ddd16c72e93944bd2a707a24bef1d730ee3ee30b199
30,37,TRIAL_0037_CDP_NEG,B,0.5165541746628675,0.6237201392888194,0.6217464464666532,0.6110106371856784,1.3969297047348768,0.7263156189329415,0.08509481879562865,0.3005817402488686,2.294921875,97.705078125,57697,155.84389320004266,9a8bdbca038e671405a76416a93b55d6eb12da567c392fe385b652fafd300ee0
31,41,TRIAL_0041_CDP_NEG,B,0.5110672416300512,0.6884036993188173,0.6374659742089647,0.5977050173653753,1.3721897757994619,0.7500732077103721,0.08993637581677434,0.31814645880771414,4.052734375,95.947265625,56897,197.4665683999774,eee06d7ea5dbf36ec9ad33237368a4411e0a709cb1286dc8132eaaf63e0fd631
32,20,TRIAL_0020_CDP_NEG,B,0.5103499347346574,0.650360229456397,0.6313728862422685,0.6024183935544369,1.3794128325681747,0.7625043004995161,0.09204770385288583,0.35291844996722715,1.07421875,98.92578125,22049,227.55644870002288,1b8237f462a2da98f8c32c1c36c6bd21a31d7ce1843e3560e73047b67aa41077
33,8,TRIAL_0008_CDP_NEG,B,0.48266465461937935,0.5772707371899567,0.5658891443503365,0.6570629873293014,1.5022996766955339,0.7509581400673384,0.06381551060226759,0.39533650093987677,2.44140625,97.55859375,9601,40.770082199946046,c1e26e9e06253df219526010ae42815dbeea973e4252358063c579cfec341603
34,29,TRIAL_0029_CDP_NEG,C,0.5895697116115057,0.6379952501573725,0.6524080325862796,0.5873798002605032,1.340458737128572,0.7139695722610725,0.058092213641640224,0.2556492696823635,6.8359375,93.1640625,35905,189.75139619997935,eedaf5bd3b3da769cc112f043ce8569086db54057eb28bc9d390e737667b65b9
35,22,TRIAL_0022_CDP_NEG,C,0.5760104457531829,0.6622152595058257,0.650782836746761,0.5889638354476188,1.3470250902990006,0.7714710056561532,0.05696069498928666,0.3013567666467951,76.416015625,23.583984375,13313,207.6589348000125,89f476367fbc700ea39932f1d11936abacedcceb5900090467ae64bf1b4310eb
36,25,TRIAL_0025_CDP_NEG,C,0.5750769830683511,0.6039772199535618,0.6358692273693957,0.6006822624230995,1.3690283606456835,0.8128478189033901,0.0665912096813765,0.3227436634419163,59.423828125,40.576171875,19777,142.64993349998258,770c479e158058d63219f0575956d69b66a5fd52e0b1df31b7e16e8b58b5f069
37,14,TRIAL_0014_CDP_NEG,C,0.5681853691573643,0.6644403155567564,0.6456021928239768,0.5933907204705794,1.3579377009299456,0.7581103547121715,0.057095544653437684,0.3436118453403565,18.701171875,81.298828125,37953,190.76902010000776,75d35c13ed3a7975d6254c3acb4e3073ccad72027e0fad872dd9d7ee5f8f4783
38,27,TRIAL_0027_CDP_NEG,C,0.5675919526165225,0.6649947987369611,0.6489040960755101,0.590308375020552,1.3507248524929427,0.769769620949289,0.06089447628408998,0.3195046011954246,47.0703125,52.9296875,57089,108.60976989992196,5d837564fefb820a01bc53cb7c1d780f4ebf4726e7a0d460f56474f3dc928d5b
39,38,TRIAL_0038_CDP_NEG,C,0.5631863500350967,0.6560716049186726,0.6489309008672041,0.5897447125082097,1.3486039955317308,0.7678615735764373,0.06728467477929041,0.34936295173412946,76.46484375,23.53515625,13313,176.40307429997483,c4a031fa881767ff6d668843bcb740b60e1c572e5b3eb0bb8ca7545ebb367d03
40,31,TRIAL_0031_CDP_NEG,C,0.5610185334678124,0.6488586216872267,0.6376364703309185,0.5999843815097251,1.372141941113061,0.7822227190325624,0.0585173868528945,0.31733060033950133,27.587890625,72.412109375,13761,198.7745600999915,01dc2f9fd5e38e1573bc590f1abbcd7800fc4a8a90385a9bc733fe497b194e08
41,35,TRIAL_0035_CDP_NEG,C,0.5554952136123592,0.6913816193727376,0.6550996486804068,0.584255254682698,1.3395191199276457,0.7210723335909952,0.07129085817306918,0.2745273382935447,9.033203125,90.966796875,94657,193.56680049997522,ba8445338a63ab21533d8e9b15957d5275389000dce69201db7db2451d09498c
42,28,TRIAL_0028_CDP_NEG,C,0.5525913884809337,0.6729684744304336,0.6477795342002123,0.5906256253374247,1.3527147057784592,0.7231780796680708,0.06974992130102026,0.34317772176450606,14.16015625,85.83984375,32129,211.82457980001345,6585d07baa6ba753c5846e6d720f46fe4a72219b4e665209f5af5e0f906d6ed2
43,21,TRIAL_0021_CDP_NEG,C,0.5505219078441461,0.6428109320204561,0.6338042302647939,0.6027523743997901,1.3783699130682547,0.7534420182760612,0.06463727956698317,0.21514424380997296,35.888671875,64.111328125,58625,44.54532490001293,1de712f088f856b01d15cd8d9e46142c862a10c8cc58b3a28f6404052392efaf
44,39,TRIAL_0039_CDP_NEG,C,0.5466446569103218,0.6691916634788737,0.6446908841127651,0.5930562687838051,1.3582315040270876,0.7704347909360361,0.0721625104783799,0.40871565398684745,9.66796875,90.33203125,51489,207.1435491000302,7c3397264d289f138c6d1634823397f0446ad911d37f1c463c5ad553a82bf076
45,43,TRIAL_0043_CDP_NEG,C,0.5442526667268064,0.6285079310840416,0.6314988939917346,0.6039918870783462,1.3800613845840726,0.803781945343449,0.07248816115138741,0.3948102608448951,53.80859375,46.19140625,11201,128.51838240004145,3e8c32ff475d83af38377b2ddac7c5dcc70ceb7faf23c50edff2c4600858171f
46,30,TRIAL_0030_CDP_NEG,C,0.541675681612495,0.6282045402199111,0.639762604908233,0.595738985308918,1.3605926426712092,0.7130096180010255,0.08519909383514215,0.24111400230898594,7.8125,92.1875,35905,187.33344839990605,4699b6011cc171538446b5b85e14d38c04d5ee0a83b6bcf9e7ea0c0eb4c02d5a
47,32,TRIAL_0032_CDP_NEG,C,0.5385013195781074,0.6838546823633614,0.6453928382304949,0.5921464466420742,1.3578357587405225,0.7250096477365137,0.07656746604305284,0.3334828639027723,48.388671875,51.611328125,13313,221.11414269998204,dcc2373c11c468f82ede26d46d3c9c3e3dcd8f9f893b36b599432eb54a1a2c66
48,52,TRIAL_0052_CDP_NEG,C,0.535340606998987,0.5436875813843901,0.5921520710480755,0.6357011341098627,1.4474067873757246,0.7767220557583044,0.0745192942261633,0.4302397545794591,67.28515625,32.71484375,6977,132.65061809995677,8492a1d9aa9241f5a0df2f8f2e4db4c21c41efb52747725d25de51e9d9f12de4
49,17,TRIAL_0017_CDP_NEG,C,0.5278903142040813,0.6535240046485529,0.6301800898346873,0.6049760136183421,1.3853132859535886,0.7620700990044552,0.07580805915268925,0.3531804214869541,23.388671875,76.611328125,42753,154.21555620001163,e0098c8d25262cedaaaf25110bdd5cf63f467d4bdc6a1f7ca96331b990046468
50,23,TRIAL_0023_CDP_NEG,C,0.5275751966503697,0.6347732146522771,0.623032235396367,0.611024559924204,1.3977497866855328,0.7824582319870182,0.07361674505298901,0.42031065514120014,62.255859375,37.744140625,9089,212.05580270005157,6160e83150dfdd9f1b7e858721c6a2a1238d481978654ca978f906825e00b419
51,6,TRIAL_0006_CDP_NEG,C,0.5168333087380015,0.6684996655586644,0.6273642747770739,0.6071369186365518,1.3922456148002682,0.7476435674949916,0.0790041363761029,0.3794694810822789,15.087890625,84.912109375,23329,146.28448890004074,265f51a8d41275670e2aa170d485a33bbaa8281016a03f40df502c269f336b84
52,24,TRIAL_0024_CDP_NEG,C,0.5129326590190693,0.6075127549495496,0.6137957386634919,0.6175077584005696,1.410828530749604,0.786789323576324,0.0850355133907819,0.4874317441234852,66.6015625,33.3984375,13313,99.24065310001606,82cd6ee674b5cebd939693f089e379f2521aae176e02b77826ccf0c7dca1189c
53,13,TRIAL_0013_CDP_NEG,C,0.5059552984085203,0.6604681136891387,0.6233925306234688,0.6099122128541595,1.3982670793350234,0.7359482740492008,0.08490013157421863,0.30399323909031284,25.146484375,74.853515625,7233,159.1488393000327,5be20fbe310f6cf32a01d56058bc616d632ee4c8f2a1a6009d35123353c022a2
54,11,TRIAL_0011_CDP_NEG,C,0.5033149885519264,0.6477123946436367,0.6194871845707259,0.6130217048354983,1.404396225826585,0.7512664981422814,0.08568802706807352,0.39037063488823387,16.30859375,83.69140625,29857,209.20894189999672,b66ab4de1711c0fa3524478cd430e8bbc747f7adf2dde1a89b582a80f032c3eb
55,26,TRIAL_0026_CDP_NEG,C,0.4818007691478181,0.5807393602032282,0.5904452453649298,0.6356224603825223,1.4519562167251514,0.7452827955698771,0.09292404507223159,0.394104761450561,42.333984375,57.666015625,11201,153.25720260001253,fe6ecd990bc6579f9c6317db4e1e55bfef220e67a7cc27c7c6fed367d7e46a5c
