pollutant,model_family,physical_variable,grid_value,pdp_prediction
NOx,PINN densa,TIT,1090.84802,70.02335831
NOx,PINN densa,TIT,1091.64402,70.8615554
NOx,PINN densa,TIT,1092.440021,71.7009353
NOx,PINN densa,TIT,1093.236021,72.55007316
NOx,PINN densa,TIT,1094.032021,73.42586295
NOx,PINN densa,TIT,1094.828022,74.31437793
NOx,PINN densa,TIT,1095.624022,75.23128329
NOx,PINN densa,TIT,1096.420023,76.1821385
NOx,PINN densa,TIT,1097.216023,77.18226785
NOx,PINN densa,TIT,1098.012023,78.20779301
NOx,PINN densa,TIT,1098.808024,79.27454923
NOx,PINN densa,TIT,1099.604024,80.35556882
NOx,PINN densa,TIT,1100.400024,81.46540056
NOx,TT-PINN,TIT,1020.799988,40.96488367
NOx,TT-PINN,TIT,1021.595988,41.11906081
NOx,TT-PINN,TIT,1022.391989,41.28059406
NOx,TT-PINN,TIT,1023.187989,41.43532564
NOx,TT-PINN,TIT,1023.983989,41.59726304
NOx,TT-PINN,TIT,1024.77999,41.75946145
NOx,TT-PINN,TIT,1025.57599,41.91509919
NOx,TT-PINN,TIT,1026.37199,42.07751508
NOx,TT-PINN,TIT,1027.167991,42.23330982
NOx,TT-PINN,TIT,1027.963991,42.39651305
NOx,TT-PINN,TIT,1028.759991,42.55261746
NOx,TT-PINN,TIT,1029.555992,42.71602765
NOx,TT-PINN,TIT,1030.351992,42.88016933
NOx,TT-PINN,TIT,1031.147993,43.03734656
NOx,TT-PINN,TIT,1031.943993,43.20232985
NOx,TT-PINN,TIT,1032.739993,43.36093874
NOx,TT-PINN,TIT,1033.535994,43.52723822
NOx,TT-PINN,TIT,1034.331994,43.68687473
NOx,TT-PINN,TIT,1035.127994,43.85522421
NOx,TT-PINN,TIT,1035.923995,44.02375679
NOx,TT-PINN,TIT,1036.719995,44.18614983
NOx,TT-PINN,TIT,1037.515995,44.35722583
NOx,TT-PINN,TIT,1038.311996,44.52172054
NOx,TT-PINN,TIT,1039.107996,44.69514632
NOx,TT-PINN,TIT,1039.903997,44.86296641
NOx,TT-PINN,TIT,1040.699997,45.04007566
NOx,TT-PINN,TIT,1041.495997,45.21123086
NOx,TT-PINN,TIT,1042.291998,45.39313805
NOx,TT-PINN,TIT,1043.087998,45.57777786
NOx,TT-PINN,TIT,1043.883998,45.7576569
NOx,TT-PINN,TIT,1044.679999,45.94548974
NOx,TT-PINN,TIT,1045.475999,46.14180558
NOx,TT-PINN,TIT,1046.272,46.33874253
NOx,TT-PINN,TIT,1047.068,46.54102195
NOx,TT-PINN,TIT,1047.864,46.7488389
NOx,TT-PINN,TIT,1048.660001,46.96226223
NOx,TT-PINN,TIT,1049.456001,47.18176623
NOx,TT-PINN,TIT,1050.252001,47.40644797
NOx,TT-PINN,TIT,1051.048002,47.64129068
NOx,TT-PINN,TIT,1051.844002,47.87532395
NOx,TT-PINN,TIT,1052.640002,48.11372924
NOx,TT-PINN,TIT,1053.436003,48.3560008
NOx,TT-PINN,TIT,1054.232003,48.60254337
NOx,TT-PINN,TIT,1055.028004,48.85414858
NOx,TT-PINN,TIT,1055.824004,49.11055649
NOx,TT-PINN,TIT,1056.620004,49.37872431
NOx,TT-PINN,TIT,1057.416005,49.64813773
NOx,TT-PINN,TIT,1058.212005,49.92559674
NOx,TT-PINN,TIT,1059.008005,50.21305332
NOx,TT-PINN,TIT,1059.804006,50.51187264
NOx,TT-PINN,TIT,1060.600006,50.82387603
NOx,TT-PINN,TIT,1061.396006,51.15081119
NOx,TT-PINN,TIT,1062.192007,51.49300726
NOx,TT-PINN,TIT,1062.988007,51.85446888
NOx,TT-PINN,TIT,1063.784008,52.22510053
NOx,TT-PINN,TIT,1064.580008,52.61262697
NOx,TT-PINN,TIT,1065.376008,53.00603575
NOx,TT-PINN,TIT,1066.172009,53.40932767
NOx,TT-PINN,TIT,1066.968009,53.82669972
NOx,TT-PINN,TIT,1067.764009,54.24746986
NOx,TT-PINN,TIT,1068.56001,54.67541535
NOx,TT-PINN,TIT,1069.35601,55.10918066
NOx,TT-PINN,TIT,1070.15201,55.55420695
NOx,TT-PINN,TIT,1070.948011,56.00006729
NOx,TT-PINN,TIT,1071.744011,56.45244969
NOx,TT-PINN,TIT,1072.540012,56.91528199
NOx,TT-PINN,TIT,1073.336012,57.38357214
NOx,TT-PINN,TIT,1074.132012,57.86433492
NOx,TT-PINN,TIT,1074.928013,58.35442451
NOx,TT-PINN,TIT,1075.724013,58.86090097
NOx,TT-PINN,TIT,1076.520013,59.38169483
NOx,TT-PINN,TIT,1077.316014,59.92050214
NOx,TT-PINN,TIT,1078.112014,60.48193182
NOx,TT-PINN,TIT,1078.908015,61.06988772
NOx,TT-PINN,TIT,1079.704015,61.68789046
NOx,TT-PINN,TIT,1080.500015,62.33706276
NOx,TT-PINN,TIT,1081.296016,63.01894478
NOx,TT-PINN,TIT,1082.092016,63.73426339
NOx,TT-PINN,TIT,1082.888016,64.48324647
NOx,TT-PINN,TIT,1083.684017,65.26504831
NOx,TT-PINN,TIT,1084.480017,66.07417553
NOx,TT-PINN,TIT,1085.276017,66.90751527
NOx,TT-PINN,TIT,1086.072018,67.77774116
NOx,TT-PINN,TIT,1086.868018,68.68787923
NOx,TT-PINN,TIT,1087.664019,69.65288494
NOx,TT-PINN,TIT,1088.460019,70.65738884
NOx,TT-PINN,TIT,1089.256019,71.68166165
NOx,TT-PINN,TIT,1090.05202,72.71310388
NOx,TT-PINN,TIT,1090.84802,73.74901036
NOx,TT-PINN,TIT,1091.64402,74.76467849
NOx,TT-PINN,TIT,1092.440021,75.7830246
NOx,TT-PINN,TIT,1093.236021,76.81524412
NOx,TT-PINN,TIT,1094.032021,77.87716949
NOx,TT-PINN,TIT,1094.828022,78.95054443
NOx,TT-PINN,TIT,1095.624022,80.04651383
NOx,TT-PINN,TIT,1096.420023,81.16896287
NOx,TT-PINN,TIT,1097.216023,82.33210661
NOx,TT-PINN,TIT,1098.012023,83.51021265
NOx,TT-PINN,TIT,1098.808024,84.72544295
NOx,TT-PINN,TIT,1099.604024,85.94692417
NOx,TT-PINN,TIT,1100.400024,87.19123096
