trial_number,candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
23,OPTUNA_0023,1,42,15039,7152,78,79,247151,123615,8456236,3.3323475,0.667240096,1.3635361648,0.8476103042,-0.5880316901,0.0,5.63504,3.4672684587,2.6514068388,-2.5432619998
23,OPTUNA_0023,2,42,22191,7158,10,11,81513,40762,2779732,3.3114966,0.5684252396,1.3183531992,0.6870831262,0.2153884984,0.0,3.6468,3.1908143793,1.4644039385,-0.9777352079
24,OPTUNA_0024,0,42,7411,7628,17,18,14968,7493,521797,1.0819233,0.5428506855,1.6727101839,0.8999693876,-0.4457800349,0.0,5.00594,4.5160287392,2.8185496213,-2.1028848285
24,OPTUNA_0024,1,42,15039,7152,24,25,34101,17063,1176945,1.5402925,0.6957191992,1.3038824541,0.804982662,-0.4686456521,0.0,5.63504,3.3105030023,2.5603898135,-2.4264713514
24,OPTUNA_0024,2,42,22191,7158,6,7,17119,8563,587696,1.510512,0.6247318324,1.2293473847,0.6430019012,0.2343418902,0.0,3.6468,3.1131403007,1.5866443939,-1.3479937896
25,OPTUNA_0025,0,42,7411,7628,186,187,775,481,150201,0.5485684,0.5503678968,1.6589004329,0.9264966189,-0.5414229898,0.0,5.00594,4.3550533218,2.8615422633,-1.9236794054
25,OPTUNA_0025,1,42,15039,7152,123,124,1334,729,127768,0.4999752,0.7018457086,1.290689266,0.7590462142,-0.4883669427,0.0,5.63504,3.3746376785,2.5885635696,-2.4530596663
25,OPTUNA_0025,2,42,22191,7158,6,7,947,477,37840,0.3029529999,0.6140785909,1.2466748386,0.6752571117,0.3193100517,0.0,3.6468,2.8661261982,1.4108630889,-0.9697630894
26,OPTUNA_0026,0,42,7411,7628,10,11,515,263,25776,0.2592047,0.4177781198,1.8877128223,1.0314179494,-0.3851338519,0.0,5.00594,4.5199004492,3.0432651494,-1.6250255043
26,OPTUNA_0026,1,42,15039,7152,123,124,1270,697,125586,0.3951812,0.6907286642,1.3145315105,0.7738576746,-0.4986835075,0.0,5.63504,3.3581057211,2.5858922554,-2.4199739124
26,OPTUNA_0026,2,42,22191,7158,6,7,1415,711,53752,0.2656353,0.5785889487,1.3027369118,0.6746082166,0.3218432698,0.0,3.6468,3.0036002725,1.438595138,-0.6667279063
27,OPTUNA_0027,0,42,7411,7628,22,23,927,475,47669,0.2942969,0.5308677843,1.6944911044,0.9309327543,-0.5088349115,0.0,5.00594,4.5049725272,2.7928295205,-2.0751092491
27,OPTUNA_0027,1,42,15039,7152,54,55,2053,1054,106964,0.4353973,0.7061246358,1.2813942066,0.7788038827,-0.5146117595,0.0,5.63504,3.2600874234,2.5234058431,-2.3945201399
27,OPTUNA_0027,2,42,22191,7158,6,7,1033,520,40765,0.32372,0.5756819657,1.3072224676,0.7461285344,0.3741156146,0.0,3.6468,3.0525389115,1.5680876675,-1.1785048233
28,OPTUNA_0028,0,42,7411,7628,166,167,8925,4546,414209,0.7611378,0.4824048867,1.7798637103,0.8762969523,-0.6007401646,0.0,5.00594,4.9628972127,2.7999287556,-2.6847363757
28,OPTUNA_0028,1,42,15039,7152,608,609,18069,9339,1015963,1.5140786,0.6856839149,1.3252092825,0.815133849,-0.5650726606,0.0,5.63504,3.3509364707,2.5452972127,-2.4747336591
28,OPTUNA_0028,2,42,22191,7158,168,169,25405,12787,975863,0.9543894,0.5475376626,1.3498794185,0.7651294029,0.3374516341,0.0,3.6468,2.9617890997,1.6088585009,-0.0731014778
29,OPTUNA_0029,0,42,7411,7628,54,55,30393,15224,1070598,1.6343023,0.5474664186,1.6642442721,0.8925265861,-0.5041564132,0.0,5.00594,4.4610896575,2.7162747458,-2.252826218
29,OPTUNA_0029,1,42,15039,7152,30,31,36553,18292,1264257,1.7266932,0.6935324633,1.3085592892,0.8252514668,-0.5393178346,0.0,5.63504,3.2704109256,2.50305357,-2.4026600677
29,OPTUNA_0029,2,42,22191,7158,5,6,15754,7880,540629,1.7191802,0.5746597985,1.3087960469,0.6259732957,0.0884774131,0.0,3.6468,3.4020005929,1.5973525499,-1.2113142906
30,OPTUNA_0030,0,42,7411,7628,11,12,78,45,11568,0.2198589,0.3938470663,1.9261174698,0.9719731732,-0.8184914534,0.0,5.00594,5.3751081952,3.2575082245,-3.1666016948
30,OPTUNA_0030,1,42,15039,7152,361,362,480,421,255310,0.7775289,0.6035058642,1.4883996189,0.8846203086,-0.7344159494,0.0,5.63504,4.0389861811,3.4648223801,-3.4505593308
30,OPTUNA_0030,2,42,22191,7158,102,103,235,169,76605,0.3915246,0.5446907096,1.3541195691,0.6389905992,0.1504894858,0.0,3.6468,3.5120364644,1.594982927,-0.8230711202
31,OPTUNA_0031,0,42,7411,7628,93,94,19814,9954,736569,1.253525,0.5460633318,1.6668222819,0.917582321,-0.3041841247,0.0131095962,5.00594,4.4087100314,2.6425864772,-1.7445529921
31,OPTUNA_0031,1,42,15039,7152,15,16,8428,4222,298121,0.8244037,0.6965070979,1.3021932362,0.7877703734,-0.4742601534,0.0,5.63504,3.3616202397,2.6302886702,-2.5278971828
31,OPTUNA_0031,2,42,22191,7158,6,7,6061,3034,211717,0.8184149,0.5467421213,1.3510656091,0.7549243667,0.3845979607,0.0,3.6468,3.2415584091,1.4933741851,-1.0806115942
32,OPTUNA_0032,0,42,7411,7628,6,7,10089,5048,348678,0.7164693,0.5194923261,1.7149119575,0.9519152962,-0.4138451838,0.0,5.00594,4.463573106,3.1211119232,-2.0443466654
32,OPTUNA_0032,1,42,15039,7152,30,31,47089,23560,1622484,1.1217016,0.6402659205,1.4177248681,0.8805858513,-0.4719719813,0.0139821029,5.63504,3.5160110344,2.5885463524,-2.35861312
32,OPTUNA_0032,2,42,22191,7158,4,5,20179,10092,690418,1.4048079,0.5821781307,1.2971773062,0.7323142687,0.3270671327,0.0,3.6468,2.9809949748,1.5860651374,-0.9875264785
33,OPTUNA_0033,0,42,7411,7628,143,144,3534,1839,215807,0.692729,0.5553902657,1.6496094964,0.9309191529,-0.5296907468,0.0,5.00594,4.3248173084,2.8472197588,-1.8232257313
33,OPTUNA_0033,1,42,15039,7152,246,247,7367,3807,413946,0.9355706,0.7017253596,1.2909497309,0.7674367173,-0.5240743748,0.0,5.63504,3.3565358832,2.5979268145,-2.4651747859
33,OPTUNA_0033,2,42,22191,7158,56,57,5605,2831,229085,0.5570589,0.5797819883,1.3008915422,0.7194840375,0.386943918,0.0,3.6468,2.9271868998,1.4262919322,-0.7928323402
34,OPTUNA_0034,0,42,7411,7628,8,9,2549,1279,93627,0.6504028999,0.4494358604,1.8356742882,1.007408532,-0.4035154449,0.0,5.00594,4.5889149194,3.2584454119,-2.0548374969
34,OPTUNA_0034,1,42,15039,7152,16,17,5209,2613,189333,0.6998856,0.6815679594,1.3338578403,0.8075082234,-0.4886949961,0.0,5.63504,3.3725034237,2.6157909142,-2.5020015226
34,OPTUNA_0034,2,42,22191,7158,6,7,2495,1251,90473,0.6561281,0.5979924322,1.2723918326,0.6908557497,0.3145909796,0.0,3.6468,2.9689223264,1.517910414,-1.0160445787
35,OPTUNA_0035,0,42,7411,7628,12,13,13991,7002,485298,1.2400159,0.4119183996,1.8971883993,1.0699824128,-0.4614466714,0.0,5.00594,4.9627584179,3.8999922381,-2.9362537753
35,OPTUNA_0035,1,42,15039,7152,85,86,135208,67647,4654785,2.3464283,0.6679930235,1.3619926716,0.8281204028,-0.451578383,0.0,5.63504,3.4168212092,2.5438660415,-2.3423690828
35,OPTUNA_0035,2,42,22191,7158,17,18,34996,17507,1202765,1.6638309,0.4933644999,1.4284056758,0.8331211127,0.48006703,0.0,3.6468,3.2623291055,1.6426879932,-0.9711485883
36,OPTUNA_0036,0,42,7411,7628,55,56,24060,12058,855929,0.9032922,0.5007522874,1.7480333193,0.9667239125,-0.3627086073,0.0,5.00594,4.3106366462,2.7208884099,-2.092223269
