trial_number,candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
22,OPTUNA_0022,2,42,26989,2856,1089,1090,268958,135024,9864755,7.5235345,0.7818822744,0.7990234053,0.4843800743,0.0005237726,0.0,4.35905,1.9036191582,1.0963728713,-0.8597075439
22,OPTUNA_0022,4,42,27061,2784,1416,1417,333549,167483,12276659,9.5705371,0.7202949424,0.9311612572,0.5199513273,0.1257044969,0.0,4.38449,2.2281195787,0.9381576954,-0.3619256479
23,OPTUNA_0023,0,42,25813,4032,290,291,78027,39159,2845763,2.4685312,0.8311734863,0.637098052,0.4182233726,0.0657668336,0.0,3.96909,1.2626869784,0.7149804559,-0.3352569861
23,OPTUNA_0023,3,42,26466,3379,337,338,84570,42454,3099237,2.6478598,0.7391859447,1.0840324076,0.5139966511,0.02982009,0.0,4.67896,2.8322653112,1.1189568344,-0.9302550202
23,OPTUNA_0023,1,42,27493,2352,248,249,75565,37907,2734340,2.2492346,0.7059666096,0.9982250855,0.5100231812,-0.0072278455,0.0,4.52935,2.569573086,1.0447541507,-0.7361068227
23,OPTUNA_0023,2,42,26989,2856,354,355,87519,43937,3210719,2.8562189,0.7789720587,0.8043361907,0.4870165907,0.0044446144,0.0,4.35905,1.9184089913,1.1142256189,-0.8392255886
23,OPTUNA_0023,4,42,27061,2784,461,462,104972,52717,3874728,3.3110864,0.7211765502,0.9296926264,0.5186016092,0.1233657244,0.0,4.38449,2.2229191811,0.9343756261,-0.3715831826
24,OPTUNA_0024,0,42,25813,4032,1078,1079,399423,200251,14293314,7.146066,0.8415996245,0.6171120893,0.4065000321,0.0424470061,0.0,3.96909,1.2485974562,0.7060645163,-0.3434553318
24,OPTUNA_0024,3,42,26466,3379,3024,3025,1130671,566848,40440106,18.7723797,0.7381523013,1.0861783711,0.5112267854,0.0271253974,0.0,4.67896,2.8455276172,1.1145017917,-0.9357276143
24,OPTUNA_0024,1,42,27493,2352,1160,1161,430297,215729,15397150,7.7394953,0.7069649787,0.9965289441,0.5072872441,-0.0216415129,0.0,4.52935,2.5687026656,1.0368656204,-0.7292686102
24,OPTUNA_0024,2,42,26989,2856,1891,1892,676258,339075,24242284,11.7864153,0.7836952347,0.7956957976,0.4854949292,-0.0049462256,0.0,4.35905,1.8867586264,1.0860174083,-0.844131496
