model_id,protocol,family,target,version,seed,relative_path,size_bytes,sha256,storage_status
dense_pinn-walk_forward-co-seed42,walk_forward,dense_pinn,CO,R3F_STD,42,models/dense_pinn/walk_forward/CO/PINN_CO_WF_seed42.pt,209109,ae4f8cdb1c187c9e816d49ea0e3f82260e6aa1eaa3186c09c7d2dd2818666b71,LFS_REQUIRED
dense_pinn-walk_forward-co-seed63,walk_forward,dense_pinn,CO,R3F_STD,63,models/dense_pinn/walk_forward/CO/PINN_CO_WF_seed63.pt,209109,0c6060aa26e5546fb3ac7f9864e9da2292ef640bfcb41269e4057a8de0cf2615,LFS_REQUIRED
dense_pinn-walk_forward-co-seed84,walk_forward,dense_pinn,CO,R3F_STD,84,models/dense_pinn/walk_forward/CO/PINN_CO_WF_seed84.pt,209109,b7ac18a72161399a3d0ca53b944687c7167d4d9f4cb8bbd919359becbe4d8317,LFS_REQUIRED
dense_pinn-walk_forward-co-seed105,walk_forward,dense_pinn,CO,R3F_STD,105,models/dense_pinn/walk_forward/CO/PINN_CO_WF_seed105.pt,209125,29506ddb9dce4184c0f84487a8292edbed05727d4e32ec02f27272ddba65447a,LFS_REQUIRED
dense_pinn-walk_forward-co-seed126,walk_forward,dense_pinn,CO,R3F_STD,126,models/dense_pinn/walk_forward/CO/PINN_CO_WF_seed126.pt,209125,c3f3bd3a0def1e959a0ff29de7680ae87611e7e4a95fe154d2ff2445e3e84301,LFS_REQUIRED
dense_pinn-walk_forward-co-seed147,walk_forward,dense_pinn,CO,R3F_STD,147,models/dense_pinn/walk_forward/CO/PINN_CO_WF_seed147.pt,209125,5443d51382c4c812696cbe19818a3f138d2786a3d7af01a8371aa655c27978de,LFS_REQUIRED
dense_pinn-walk_forward-co-seed168,walk_forward,dense_pinn,CO,R3F_STD,168,models/dense_pinn/walk_forward/CO/PINN_CO_WF_seed168.pt,209125,3a58a1fc6fc695a8a3b9a77c88f842336b203c053616729ccab4c07c09158a0f,LFS_REQUIRED
dense_pinn-walk_forward-co-seed189,walk_forward,dense_pinn,CO,R3F_STD,189,models/dense_pinn/walk_forward/CO/PINN_CO_WF_seed189.pt,209125,587cb03350a7fec33fee5c1ac6a0fa0592a39d3d55a9168c3d7de6fc8f8adfcc,LFS_REQUIRED
dense_pinn-walk_forward-co-seed210,walk_forward,dense_pinn,CO,R3F_STD,210,models/dense_pinn/walk_forward/CO/PINN_CO_WF_seed210.pt,209125,6cbf4515d1873e77a7144f5eaf85a29971c50873737ed4357bf87f8cf635e2f3,LFS_REQUIRED
dense_pinn-walk_forward-nox-seed21,walk_forward,dense_pinn,NOx,R3F_STD,21,models/dense_pinn/walk_forward/NOx/PINN_NOX_WF_seed21.pt,318437,c22a71feb75c85a2a865295f5c5d1e5aeaca58f28137a409849435487b625a84,LFS_REQUIRED
