rank,trial_number,candidate,physics_level,R2_min,R2_median,R2_mean,NRMSE_mean,RMSE_mean,MAE_mean,R2_std,bias_abs_mean,active_tit_violation_max,active_tit_pcd_min,parameter_count,training_time_s,config_hash
44,16,TRIAL_0016_TIT_INC,C,0.0802777984425842,0.6200369952573895,0.47972654549074,0.6954343806741169,7.4044451091743335,5.534836148239733,0.28658854417091845,3.0470645188357643,20.751953125,79.248046875,23809,175.92945840000175,e9766da47b2e3241984498380acdc9be7b82108037ff33881e17e2c0d8efdb2a
45,3,ANCHOR_TIT_GELU_COMPACT,C,0.06395705734964663,0.6309442940423968,0.48283933241262983,0.6904067535812262,7.346906984999987,5.593546600594755,0.3003985094788841,3.1417229557843265,9.86328125,90.13671875,16545,60.359574800066184,9f6370f044c4671215204be588efaa371b25d3e8435570de8edb41a78d964951
46,19,TRIAL_0019_TIT_INC,C,0.04116675011683457,0.6492320112766821,0.47667666626582134,0.6938590573513479,7.371955010631445,5.57007244753576,0.31015552047231104,2.9004438474566414,21.630859375,78.369140625,89313,163.40088080003625,d4e1396265196b69bfcc9b7c4e751c7790731f875fda00a48875652b6be16928
47,48,TRIAL_0048_TIT_INC,C,0.024260674001794436,0.6641908252237874,0.48366483826929363,0.6848132508411552,7.270978423058119,5.571581982985232,0.32731985167092936,3.116340185960904,7.03125,92.96875,53537,81.56861710001249,c6bb415fe153aba5131595cf1905ee64e2367089c8902e95e2860a819988f96e
48,42,TRIAL_0042_TIT_INC,C,0.0001231265280661198,0.670745860585106,0.47381558894481857,0.6910081087541943,7.329841439694544,5.709095753399468,0.33653300535616226,2.9205323996726373,17.48046875,82.51953125,11201,73.63203340000473,f57e87850c7a5df7dc276196b5c99bce4081f4e36c857bf222a66e609242c39c
49,15,TRIAL_0015_TIT_INC,C,-0.005506214632403195,0.6471784030970451,0.46740882855216853,0.6953084828919738,7.38583992795589,5.623474222866167,0.33758949617659306,2.912209803570887,15.13671875,84.86328125,59169,122.0667215998983,d9195bbba0c3aee36255996dfedc9fdc90e28bd2fb1d07647ed1d8e1b823ab60
50,49,TRIAL_0049_TIT_INC,C,-0.04862335961926045,0.66630493802984,0.4608820081675686,0.6954491775859223,7.375562272836336,5.725335444042379,0.36251916223878616,3.019588390857765,7.275390625,92.724609375,22081,84.44327979994705,206511ba7366eda7b86469e258e770ef7a1dc60e92e8cb17ac56f0b4bb5be273
51,51,TRIAL_0051_TIT_INC,C,-0.05815185595135186,0.6576306869526052,0.45079193260365275,0.7035792195559045,7.462833253617962,5.842122192015419,0.3619730661720507,2.7782960425606196,20.166015625,79.833984375,20545,94.02020410000114,0bf3ef7b60f239f95d42e1f1b2fc9b2ead528af7e1e38b0191426eabd43daf13
52,12,TRIAL_0012_TIT_INC,C,-0.08601031311719587,0.6588999051997019,0.41732334677464444,0.73083426438372,7.739719234864091,5.959963246191819,0.3560059863396034,2.9662229690712363,48.486328125,51.513671875,39105,162.05470109998714,a1e812a678b941c8422ee57fa20038d7f4b094da5a1b0d19ab1f438eb14ddfea
53,11,TRIAL_0011_TIT_INC,C,-0.11865194758514952,0.6014945466928838,0.4137804055798337,0.7267379976466763,7.72522931969925,6.11953491345515,0.38190376413912314,3.7426686347573734,41.40625,58.59375,62753,177.4136165000382,9ec93490f42f045aa301b821612c11d79db640d087d7a12a972a1bbf1c3d4e7a
54,6,TRIAL_0006_TIT_INC,C,-0.12545754863238145,0.6019423081121468,0.4157391579106547,0.7234876690611626,7.691508207801824,5.986822970780454,0.38883840403694936,3.5974959321149207,66.89453125,33.10546875,23329,73.86213729996234,c687d2c3f612bd9bb857f73bee6a95089eded74e5db4be182a0fa6f439dfecff
55,7,TRIAL_0007_TIT_INC,C,-0.26016049939973485,0.6825277371754135,0.3970760168649791,0.722211841021647,7.632252029711314,5.7719733796739305,0.4660709736519856,2.8658984685925817,22.314453125,77.685546875,22465,43.341007100010756,c57a91e2751e9abffa47fe2110fe71d1fe6cea10eadc048f8e22f6661e98aaf9
